 ****************** Start WS v. 1.61 at 2014-10-14 09:05:28 ******************
 
 Wiggler A at APS
 energy   7.000 GeV   current 100.0 mA
 period   8.500  cm   N        28.0      Kx      0.000      Ky      8.740
 emin    1000.0  eV   emax 100000.0 eV   ne       2000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      2.000  mm   yps     2.000 mm   nxp        10      nyp        10
 
 b0       1.101   T   ec0    35.884  keV
 e1      139.67  eV   l1     88.767  A
 ptot    8947.6   W   pd       89.1  W/mm^2
 
 Flux through   2.000 mm x  2.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   6.642E+16 ph/s
 Integrated power     262.21 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
   5605.803   1.287266E+013     0.957   0.000   0.000   0.043
   5655.328   1.293780E+013     0.956   0.000   0.000   0.044
   5704.852   1.300258E+013     0.956   0.000   0.000   0.044
   5754.377   1.306699E+013     0.956   0.000   0.000   0.044
   5803.902   1.313105E+013     0.956   0.000   0.000   0.044
   5853.427   1.319474E+013     0.956   0.000   0.000   0.044
   5902.951   1.325808E+013     0.956   0.000   0.000   0.044
   5952.476   1.332107E+013     0.955   0.000   0.000   0.045
   6002.001   1.338370E+013     0.955   0.000   0.000   0.045
   6051.526   1.344599E+013     0.955   0.000   0.000   0.045
   6101.051   1.350794E+013     0.955   0.000   0.000   0.045
   6150.575   1.356954E+013     0.955   0.000   0.000   0.045
   6200.100   1.363081E+013     0.955   0.000   0.000   0.045
   6249.625   1.369173E+013     0.954   0.000   0.000   0.046
   6299.150   1.375233E+013     0.954   0.000   0.000   0.046
   6348.674   1.381259E+013     0.954   0.000   0.000   0.046
   6398.199   1.387253E+013     0.954   0.000   0.000   0.046
   6447.724   1.393213E+013     0.954   0.000   0.000   0.046
   6497.249   1.399142E+013     0.954   0.000   0.000   0.046
   6546.773   1.405038E+013     0.954   0.000   0.000   0.046
   6596.298   1.410902E+013     0.953   0.000   0.000   0.047
   6645.823   1.416734E+013     0.953   0.000   0.000   0.047
   6695.348   1.422535E+013     0.953   0.000   0.000   0.047
   6744.872   1.428305E+013     0.953   0.000   0.000   0.047
   6794.397   1.434044E+013     0.953   0.000   0.000   0.047
   6843.922   1.439751E+013     0.953   0.000   0.000   0.047
   6893.447   1.445429E+013     0.952   0.000   0.000   0.048
   6942.971   1.451075E+013     0.952   0.000   0.000   0.048
   6992.496   1.456692E+013     0.952   0.000   0.000   0.048
   7042.021   1.462278E+013     0.952   0.000   0.000   0.048
   7091.546   1.467835E+013     0.952   0.000   0.000   0.048
   7141.071   1.473362E+013     0.952   0.000   0.000   0.048
   7190.595   1.478859E+013     0.952   0.000   0.000   0.048
   7240.120   1.484328E+013     0.952   0.000   0.000   0.048
   7289.645   1.489767E+013     0.951   0.000   0.000   0.049
   7339.170   1.495177E+013     0.951   0.000   0.000   0.049
   7388.694   1.500559E+013     0.951   0.000   0.000   0.049
   7438.219   1.505912E+013     0.951   0.000   0.000   0.049
   7487.744   1.511237E+013     0.951   0.000   0.000   0.049
   7537.269   1.516534E+013     0.951   0.000   0.000   0.049
   7586.793   1.521803E+013     0.951   0.000   0.000   0.049
   7636.318   1.527044E+013     0.950   0.000   0.000   0.050
   7685.843   1.532257E+013     0.950   0.000   0.000   0.050
   7735.368   1.537443E+013     0.950   0.000   0.000   0.050
   7784.892   1.542601E+013     0.950   0.000   0.000   0.050
   7834.417   1.547733E+013     0.950   0.000   0.000   0.050
   7883.942   1.552837E+013     0.950   0.000   0.000   0.050
   7933.467   1.557915E+013     0.950   0.000   0.000   0.050
   7982.991   1.562966E+013     0.950   0.000   0.000   0.050
   8032.516   1.567990E+013     0.949   0.000   0.000   0.051
   8082.041   1.572989E+013     0.949   0.000   0.000   0.051
   8131.566   1.577960E+013     0.949   0.000   0.000   0.051
   8181.091   1.582906E+013     0.949   0.000   0.000   0.051
   8230.615   1.587826E+013     0.949   0.000   0.000   0.051
   8280.140   1.592721E+013     0.949   0.000   0.000   0.051
   8329.665   1.597590E+013     0.949   0.000   0.000   0.051
   8379.190   1.602433E+013     0.949   0.000   0.000   0.051
   8428.714   1.607251E+013     0.948   0.000   0.000   0.052
   8478.239   1.612044E+013     0.948   0.000   0.000   0.052
   8527.764   1.616811E+013     0.948   0.000   0.000   0.052
   8577.289   1.621554E+013     0.948   0.000   0.000   0.052
   8626.813   1.626272E+013     0.948   0.000   0.000   0.052
   8676.338   1.630966E+013     0.948   0.000   0.000   0.052
   8725.863   1.635635E+013     0.948   0.000   0.000   0.052
   8775.388   1.640280E+013     0.948   0.000   0.000   0.052
   8824.912   1.644900E+013     0.947   0.000   0.000   0.053
   8874.437   1.649496E+013     0.947   0.000   0.000   0.053
   8923.962   1.654069E+013     0.947   0.000   0.000   0.053
   8973.487   1.658617E+013     0.947   0.000   0.000   0.053
   9023.012   1.663142E+013     0.947   0.000   0.000   0.053
   9072.536   1.667644E+013     0.947   0.000   0.000   0.053
   9122.061   1.672121E+013     0.947   0.000   0.000   0.053
   9171.586   1.676576E+013     0.947   0.000   0.000   0.053
   9221.111   1.681007E+013     0.947   0.000   0.000   0.053
   9270.635   1.685415E+013     0.946   0.000   0.000   0.054
   9320.160   1.689801E+013     0.946   0.000   0.000   0.054
   9369.685   1.694163E+013     0.946   0.000   0.000   0.054
   9419.210   1.698502E+013     0.946   0.000   0.000   0.054
   9468.734   1.702819E+013     0.946   0.000   0.000   0.054
   9518.259   1.707114E+013     0.946   0.000   0.000   0.054
   9567.784   1.711386E+013     0.946   0.000   0.000   0.054
   9617.309   1.715636E+013     0.946   0.000   0.000   0.054
   9666.833   1.719863E+013     0.946   0.000   0.000   0.054
   9716.358   1.724069E+013     0.945   0.000   0.000   0.055
   9765.883   1.728252E+013     0.945   0.000   0.000   0.055
   9815.408   1.732414E+013     0.945   0.000   0.000   0.055
   9864.932   1.736554E+013     0.945   0.000   0.000   0.055
   9914.457   1.740672E+013     0.945   0.000   0.000   0.055
   9963.982   1.744769E+013     0.945   0.000   0.000   0.055
  10013.507   1.748844E+013     0.945   0.000   0.000   0.055
  10063.032   1.752898E+013     0.945   0.000   0.000   0.055
  10112.556   1.756931E+013     0.945   0.000   0.000   0.055
  10162.081   1.760942E+013     0.945   0.000   0.000   0.055
  10211.606   1.764933E+013     0.944   0.000   0.000   0.056
  10261.131   1.768902E+013     0.944   0.000   0.000   0.056
  10310.655   1.772851E+013     0.944   0.000   0.000   0.056
  10360.180   1.776779E+013     0.944   0.000   0.000   0.056
  10409.705   1.780687E+013     0.944   0.000   0.000   0.056
  10459.230   1.784574E+013     0.944   0.000   0.000   0.056
  10508.754   1.788440E+013     0.944   0.000   0.000   0.056
  10558.279   1.792286E+013     0.944   0.000   0.000   0.056
  10607.804   1.796112E+013     0.944   0.000   0.000   0.056
  10657.329   1.799918E+013     0.944   0.000   0.000   0.056
  10706.853   1.803703E+013     0.943   0.000   0.000   0.057
  10756.378   1.807469E+013     0.943   0.000   0.000   0.057
  10805.903   1.811215E+013     0.943   0.000   0.000   0.057
  10855.428   1.814941E+013     0.943   0.000   0.000   0.057
  10904.952   1.818647E+013     0.943   0.000   0.000   0.057
  10954.477   1.822334E+013     0.943   0.000   0.000   0.057
  11004.002   1.826001E+013     0.943   0.000   0.000   0.057
  11053.527   1.829649E+013     0.943   0.000   0.000   0.057
  11103.052   1.833277E+013     0.943   0.000   0.000   0.057
  11152.576   1.836886E+013     0.943   0.000   0.000   0.057
  11202.101   1.840476E+013     0.943   0.000   0.000   0.057
  11251.626   1.844047E+013     0.942   0.000   0.000   0.058
  11301.151   1.847599E+013     0.942   0.000   0.000   0.058
  11350.675   1.851132E+013     0.942   0.000   0.000   0.058
  11400.200   1.854646E+013     0.942   0.000   0.000   0.058
  11449.725   1.858141E+013     0.942   0.000   0.000   0.058
  11499.250   1.861618E+013     0.942   0.000   0.000   0.058
  11548.774   1.865076E+013     0.942   0.000   0.000   0.058
  11598.299   1.868515E+013     0.942   0.000   0.000   0.058
  11647.824   1.871936E+013     0.942   0.000   0.000   0.058
  11697.349   1.875339E+013     0.942   0.000   0.000   0.058
  11746.873   1.878723E+013     0.942   0.000   0.000   0.058
  11796.398   1.882090E+013     0.941   0.000   0.000   0.059
  11845.923   1.885438E+013     0.941   0.000   0.000   0.059
  11895.448   1.888768E+013     0.941   0.000   0.000   0.059
  11944.972   1.892080E+013     0.941   0.000   0.000   0.059
  11994.497   1.895374E+013     0.941   0.000   0.000   0.059
  12044.022   1.898650E+013     0.941   0.000   0.000   0.059
  12093.547   1.901909E+013     0.941   0.000   0.000   0.059
  12143.072   1.905150E+013     0.941   0.000   0.000   0.059
  12192.596   1.908373E+013     0.941   0.000   0.000   0.059
  12242.121   1.911579E+013     0.941   0.000   0.000   0.059
  12291.646   1.914768E+013     0.941   0.000   0.000   0.059
  12341.171   1.917939E+013     0.941   0.000   0.000   0.059
  12390.695   1.921092E+013     0.940   0.000   0.000   0.060
  12440.220   1.924229E+013     0.940   0.000   0.000   0.060
  12489.745   1.927348E+013     0.940   0.000   0.000   0.060
  12539.270   1.930450E+013     0.940   0.000   0.000   0.060
  12588.794   1.933536E+013     0.940   0.000   0.000   0.060
