#UD Electron Binding Energies in keV for the elements in their natural forms
#UD 
#UD 
#UD REFERENCE:
#UD Table of Isotopes, CD-ROM, 8th edition, Version 1.0, March 1996
#UD Richard B Firestone
#UD S Y Frank Chu, CD-ROM Editor
#UD Virginia S Shirley, Editor
#UD Wiley-Interscience
#UD 
#UD Nota: 
#UD The values are sorted by shell. Shells with no electrons may present the -99999 (dummy) value.
#UD 
#S  1 H
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0136
#S  2 He
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0246
#S  3 Li
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.0548 0.0053
#S  4 Be
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.1121 0.0080
#S  5 B
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.1880 0.0126 0.0047 0.0047
#S  6 C
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.2838 0.0180 0.0064 0.0064
#S  7 N
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.4016 0.0244 0.0092 0.0092
#S  8 O
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.5320 0.0285 0.0071 0.0071
#S  9 F
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.6854 0.0340 0.0086 0.0086
#S  10 Ne
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.8701 0.0485 0.0217 0.0216
#S  11 Na
#UTOEV  1000.0
 5.4651 0.6282 0.5205 0.5129 0.0665 0.0378 0.0378 0.0022 0.0022
#S  24 Cr
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 5.9892 0.6946 0.5837 0.5745 0.0741 0.0425 0.0425 0.0023 0.0023
#S  25 Mn
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 6.5390 0.7690 0.6514 0.6403 0.0839 0.0486 0.0486 0.0033 0.0033
#S  26 Fe
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 7.1120 0.8461 0.7211 0.7081 0.0929 0.0540 0.0540 0.0036 0.0036
#S  27 Co
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 7.7089 0.9256 0.7936 0.7786 0.1007 0.0595 0.0595 0.0029 0.0029
#S  28 Ni
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 8.3328 1.0081 0.8719 0.8547 0.1118 0.0681 0.0681 0.0036 0.0036
#S  29 Cu
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 8.9789 1.0961 0.9510 0.9311 0.1198 0.0736 0.0736 0.0016 0.0016
#S  30 Zn
#UTOEV  1000.0
#N  9
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)
 9.6586 1.1936 1.0428 1.0197 0.1359 0.0866 0.0866 0.0081 0.0081
#S  31 Ga
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 10.3671 1.2977 1.1423 1.1154 0.1581 0.1068 0.1029 0.0174 0.0174 0.0015 0.0008 0.0008
#S  32 Ge
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 11.1031 1.4143 1.2478 1.2167 0.1800 0.1279 0.1208 0.0287 0.0287 0.0050 0.0023 0.0023
#S  33 As
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 11.8667 1.5265 1.3586 1.3231 0.2035 0.1464 0.1405 0.0412 0.0412 0.0085 0.0025 0.0025
#S  34 Se
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 12.6578 1.6539 1.4762 1.4358 0.2315 0.1682 0.1619 0.0567 0.0567 0.0120 0.0056 0.0056
#S  35 Br
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 13.4737 1.7820 1.5960 1.5499 0.2565 0.1893 0.1815 0.0701 0.0690 0.0273 0.0052 0.0046
#S  36 Kr
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 14.3256 1.9210 1.7272 1.6749 0.2921 0.2218 0.2145 0.0950 0.0938 0.0275 0.0147 0.0140
#S  37 Rb
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 15.1997 2.0651 1.8639 1.8044 0.3221 0.2474 0.2385 0.1118 0.1103 0.0293 0.0148 0.0140
#S  38 Sr
#UTOEV  1000.0
#N  12
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)
 16.1046 2.2163 2.0068 1.9396 0.3575 0.2798 0.2691 0.1350 0.1331 0.0377 0.0199 0.0199
#S  39 Y
#UTOEV  1000.0
#N  14
