#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     12.23936      3.958802      2.190193 
     12.26479      3.773781      1.510878 
     12.26842      3.725964      1.413913 
     12.29747      3.343271     0.8425908 
     12.32652      2.915552     0.4635161 
     12.33651      2.768466     0.3850903 
     12.35558      2.521409     0.2353786 
     12.37737      2.239121    0.05882807 
     12.38463      2.109225      0.000000 
     12.39055      2.003313      0.000000 
     12.40427      1.816036      0.000000 
     12.44908      1.308047      0.000000 
     12.45291      1.264630    0.01022973 
     12.45961      1.194017    0.02812630 
     12.46967      1.096967    0.05499665 
     12.47972      1.006106    0.08184028 
     12.50270     0.8052224     0.1432211 
     12.50654     0.7716556     0.1533600 
     12.51037     0.7345811     0.1634725 
     12.51420     0.6975066     0.1803624 
     12.54101     0.4628249     0.2985958 
     12.54651     0.4146753     0.3361707 
     12.57356     0.2117050     0.5209450 
     12.58344     0.1375626     0.6125165 
     12.60421    0.03083444     0.8049985 
     12.61369   -0.01788402     0.9146363 
     12.64158   -0.06927705      1.237165 
     12.65952   -0.03910410      1.444629 
     12.66378   -0.03193903      1.491021 
     12.68694    0.07618189      1.743233 
     12.69613     0.1529878      1.843316 
     12.71947     0.3480391      2.018087 
     12.72677     0.4333009      2.072755 
     12.73067     0.4788475      2.084266 
     12.75236     0.7045471      2.148288 
     12.75742     0.7734033      2.163225 
     12.78614      1.083233      2.116277 
     12.78806      1.108695      2.113138 
     12.79165      1.147087      2.090152 
     12.79793      1.204635      2.049940 
     12.82061      1.381476      1.904716 
     12.83408      1.451878      1.788778 
     12.84508      1.489164      1.694093 
     12.85951      1.515365      1.569888 
     12.87343      1.514594      1.450074 
     12.87807      1.503838      1.410134 
     12.89410      1.466681      1.302387 
     12.90613      1.424383      1.221525 
     12.91013      1.404204      1.194639 
     12.94191      1.243883      1.106620 
     12.94588      1.219955      1.095625 
     12.97369      1.096567      1.093827 
     12.97798      1.075624      1.093550 
     12.98549      1.048216      1.109276 
     13.00310     0.9985306      1.146155 
     13.00802     0.9845484      1.156457 
     13.01384     0.9703086      1.168645 
     13.01873     0.9634730      1.178886 
     13.02256     0.9581198      1.187476 
     13.02692     0.9552851      1.197254 
     13.03128     0.9565417      1.207033 
     13.04147     0.9579511      1.229887 
     13.07924     0.9469390      1.287009 
     13.09002     0.9514835      1.303313 
     13.09541     0.9567358      1.311466 
     13.10079     0.9663659      1.319602 
     13.10997     0.9790989      1.333485 
     13.12347     0.9978257      1.333258 
     13.12726      1.002988      1.333195 
     13.13609      1.014907      1.333047 
     13.14550      1.027927      1.332889 
     13.16532      1.042495      1.332556 
     13.18077      1.053852      1.327149 
     13.21531      1.067890      1.315062 
     13.24785      1.077243      1.303675 
     13.28032      1.081778      1.292313 
     13.31799      1.083911      1.279130 
     13.34334      1.083873      1.270260 
     13.36517      1.088038      1.262620 
     13.39405      1.087357      1.252514 
     13.42543      1.080494      1.241533 
     13.43596      1.079649      1.237848 
     13.44648      1.084084      1.234603 
     13.48745      1.086862      1.221965 
     13.50870      1.092282      1.215410 
     13.51542      1.095738      1.213337 
     13.52357      1.093319      1.210823 
     13.53404      1.090211      1.209680 
     13.53649      1.090107      1.209412 
     13.56507      1.076588      1.206292 
     13.57600      1.075012      1.205098 
     13.58052      1.072773      1.204605 
     13.59345      1.071516      1.203193 
     13.59970      1.072991      1.202511 
     13.60315      1.072631      1.202134 
     13.61403      1.074961      1.200946 
     13.62498      1.073401      1.199750 
     13.63551      1.076398      1.198601 
     13.64626      1.076664      1.197427 
     13.66294      1.071970      1.195606 
     13.67275      1.071450      1.194534 
     13.67912      1.072912      1.193839 
     13.69114      1.072052      1.192526 
     13.70123      1.074311      1.191425 
     13.70841      1.072620      1.190641 
     13.73981      1.072398      1.187212 
     13.75408      1.073350      1.185654 
     13.77386      1.073531      1.183495 
     13.78603      1.074792      1.182166 
     13.79886      1.074406      1.180765 
     13.85305      1.079341      1.174848 
     13.93131      1.083929      1.166303 
     13.98189      1.089789      1.160780 
     14.06809      1.097990      1.151368 
     14.11998      1.102274      1.145703 
     14.43188      1.121270      1.111647 
     14.49822      1.124400      1.104404 
     14.80491      1.138870      1.070696 
     15.07483      1.150110      1.041029 
     15.92177      1.177164     0.9479418 
     16.41221      1.187783     0.8940378 
     16.97274      1.199920     0.8494619 
     18.28241      1.216497     0.7453106 
     18.69746      1.218336     0.7123039 
     20.43037      1.226013     0.6128128 
     20.98487      1.225238     0.5809775 
     23.55835      1.221640     0.4721851 
     25.91418      1.210456     0.3966658 
     29.13232      1.195178     0.3194468 
     31.84728      1.182289     0.2724637 
     32.84931      1.177796     0.2551233 
     36.13424      1.163069     0.2127905 
     39.92138      1.146089     0.1757037 
     40.77574      1.142259     0.1695030 
     44.68631      1.129166     0.1411211 
     49.59088      1.112746     0.1151161 
     55.13187      1.099318    0.09326272 
     59.04805      1.089828    0.08209482 
     61.74884      1.085172    0.07439288 
     67.88208      1.074598    0.06140412 
     69.59558      1.071644    0.05874592 
     75.97705      1.063630    0.04884620 
     79.51414      1.059189    0.04478787 
     83.51275      1.055461    0.04020001 
     91.29327      1.048209    0.03345616 
     101.3578      1.041414    0.02688692 
     105.3750      1.038702    0.02493789 
     110.7131      1.036120    0.02234800 
     120.3923      1.031438    0.01882620 
     122.7129      1.030618    0.01798184 
     134.3996      1.026489    0.01481737 
     137.6570      1.025339    0.01414795 
     146.4240      1.023119    0.01234626 
     156.2751      1.020624    0.01083476 
     163.2676      1.019310   0.009761864 
     175.3067      1.017048   0.008422684 
     179.6900      1.016430   0.007935104 
     195.5877      1.014189   0.006599114 
     212.7262      1.012386   0.005489403 
     220.9937      1.011515   0.005091059 
     235.5439      1.010429   0.004390003 
     252.3971      1.009170   0.003799766 
     261.0462      1.008704   0.003496854 
     284.5984      1.007434   0.002904704 
     290.1504      1.007213   0.002765116 
     316.2278      1.006173   0.002284116 
     345.5636      1.005305   0.001870606 
     355.9126      1.004999   0.001763809 
     383.2090      1.004413   0.001482123 
     400.2864      1.004046   0.001355783 
     424.4363      1.003664   0.001177119 
     445.0825      1.003338   0.001063767 
     462.8470      1.003131  0.0009662368 
     502.6628      1.002668  0.0008054253 
     512.0268      1.002590  0.0007676052 
     566.4023      1.002137  0.0006095886 
     615.8809      1.001843  0.0005026093 
     641.3915      1.001691  0.0004608721 
     670.3164      1.001567  0.0004135489 
     716.8310      1.001368  0.0003575741 
     742.6832      1.001287  0.0003264641 
     800.2919      1.001106  0.0002763965 
     819.6199      1.001060  0.0002595985 
     892.7987      1.000888  0.0002126801 
     909.4616      1.000849  0.0002045642 
     965.7661      1.000754  0.0001771405 
     1015.460      1.000670  0.0001591034 
     1068.488      1.000605  0.0001398562 
     1129.144      1.000531  0.0001234895 
     1156.538      1.000507  0.0001160978 
     1260.279      1.000415  9.484134E-05 
     1363.758      1.000349  7.878470E-05 
     1396.819      1.000327  7.488913E-05 
     1486.735      1.000284  6.429433E-05 
     1512.472      1.000272  6.202882E-05 
     1632.110      1.000231  5.149768E-05 
     1671.706      1.000218  4.898657E-05 
     1803.701      1.000184  4.061570E-05 
     1839.793      1.000175  3.897535E-05 
     1988.476      1.000147  3.221783E-05 
     2032.251      1.000139  3.078223E-05 
     2192.294      1.000116  2.553363E-05 
     2243.069      1.000109  2.430166E-05 
     2382.858      1.000094  2.090992E-05 
     2485.172      1.000084  1.904410E-05 
     2592.844      1.000075  1.708057E-05 
     2701.166      1.000067  1.563426E-05 
     2864.249      1.000057  1.345680E-05 
     2916.702      1.000054  1.295654E-05 
     3162.278      1.000042  1.061438E-05 
     3442.126      1.000031  8.651935E-06 
     3718.196      1.000023  7.223312E-06 
     3782.484      1.000021  6.890630E-06 
     3946.484      1.000017  6.278246E-06 
     4166.398      1.000013  5.457076E-06 
     4356.780      1.000009  4.937801E-06 
     4545.369      1.000006  4.423416E-06 
     4726.559      1.000004  4.063026E-06 
     4838.512      1.000003  3.840350E-06 
     4901.995      1.000002  3.714081E-06 
     5015.101      1.000000  3.489111E-06 
     5134.475     0.9999992  3.319164E-06 
     5217.491     0.9999984  3.200978E-06 
     5412.020     0.9999967  2.924037E-06 
     5536.401     0.9999956  2.746961E-06 
     5657.012     0.9999947  2.623841E-06 
     6001.012     0.9999923  2.272684E-06 
     6108.867     0.9999917  2.162585E-06 
     6482.416     0.9999896  1.889873E-06 
     6727.818     0.9999885  1.710716E-06 
     7153.575     0.9999867  1.481617E-06 
     7293.133     0.9999862  1.406521E-06 
     8045.052     0.9999839  1.108148E-06 
     8726.439     0.9999825  9.095985E-07 
     9427.917     0.9999810  7.577344E-07 
     9599.454     0.9999808  7.205981E-07 
     10576.73     0.9999796  5.686921E-07 
     11459.18     0.9999785  4.705032E-07 
     11665.05     0.9999784  4.475964E-07 
     12672.46     0.9999778  3.655333E-07 
     13781.98     0.9999771  2.977573E-07 
     14890.84     0.9999764  2.464505E-07 
     16412.97     0.9999760  1.943106E-07 
     17875.38     0.9999757  1.576324E-07 
     19601.53     0.9999753  1.257319E-07 
     21357.51     0.9999749  1.019033E-07 
     21810.41     0.9999748  9.740002E-08 
     23495.43     0.9999747  8.064553E-08 
     25909.66     0.9999745  6.345381E-08 
     28136.68     0.9999744  5.183892E-08 
     30630.84     0.9999743  4.209783E-08 
     33182.07     0.9999742  3.459694E-08 
     36273.21     0.9999740  2.781679E-08 
     39420.87     0.9999739  2.269567E-08 
     42516.28     0.9999737  1.886185E-08 
     46147.71     0.9999737  1.543240E-08 
     50143.65     0.9999737  1.259469E-08 
     55300.42     0.9999737  9.911981E-09 
     60953.69     0.9999737  7.811432E-09 
     67088.00     0.9999737  6.189409E-09 
     72320.52     0.9999736  5.157679E-09 
     79816.33     0.9999736  4.059779E-09 
     87877.35     0.9999735  3.214160E-09 
     95419.84     0.9999735  2.633456E-09 
     104814.2     0.9999735  2.101934E-09 
     115520.6     0.9999734  1.664074E-09 
     127185.6     0.9999734  1.324131E-09 
     129422.0     0.9999734  1.276995E-09 
     139646.8     0.9999734  1.061489E-09 
     152668.7     0.9999734  8.608310E-10 
     167804.8     0.9999734  6.904670E-10 
     183377.0     0.9999734  5.624520E-10 
     202293.3     0.9999734  4.492770E-10 
     223869.9     0.9999734  3.579470E-10 
     247260.3     0.9999734  2.872260E-10 
     269153.5     0.9999734  2.386950E-10 
     298274.9     0.9999734  1.918930E-10 
     331719.9     0.9999734  1.540350E-10 
     361733.5     0.9999734  1.294710E-10 
     391291.1     0.9999734  1.118230E-10 
     401559.6     0.9999734  1.056920E-10 
     440301.3     0.9999734  8.902300E-11 
     495450.2     0.9999734  7.219600E-11 
     556304.4     0.9999734  5.957520E-11 
     630957.3     0.9999734  4.904530E-11 
     719241.9     0.9999734  4.084790E-11 
     828180.5     0.9999734  3.418680E-11 
     954992.6     0.9999734  2.932000E-11 
     1173413.     0.9999734  2.420710E-11 
     1228714.     0.9999734  2.330950E-11 
     1410753.     0.9999734  2.035480E-11 
     1696098.     0.9999734  1.711550E-11 
     2039158.     0.9999734  1.439170E-11 
     2451607.     0.9999734  1.210140E-11 
     2947480.     0.9999734  1.017550E-11 
     3543651.     0.9999734  8.556180E-12 
     3710658.     0.9999734  8.238910E-12 
     4260405.     0.9999734  7.194530E-12 
     5122134.     0.9999734  6.049580E-12 
     6158159.     0.9999734  5.086840E-12 
     7403736.     0.9999734  4.277310E-12 
     8901248.     0.9999734  3.596610E-12 
     9760024.     0.9999734  3.298030E-12 
 1.000000E+07     0.9999734  6.265660E-12 
#S  2 He
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     1.000000  7.498264E-05      0.000000 
     3.055054  0.0007979870      0.000000 
     9.190366    0.02081096      0.000000 
     13.35925     0.1134770      0.000000 
     15.29307     0.2591090      0.000000 
     16.40107     0.4395580      0.000000 
     17.12890     0.6495340      0.000000 
     17.56187     0.8420449      0.000000 
     17.93713      1.080528      0.000000 
     18.18853      1.299699      0.000000 
     18.30811      1.428234      0.000000 
     18.40577      1.548343      0.000000 
     18.47902      1.649070      0.000000 
     18.53395      1.731602      0.000000 
     18.61635      1.868361      0.000000 
     18.69875      2.023422      0.000000 
     18.74478      2.119488  2.233550E-14 
     18.79080      2.223253  4.419580E-14 
     18.83683      2.335813  8.072720E-14 
     18.88285      2.458343  1.361170E-13 
     18.92888      2.592134  2.118650E-13 
     18.97490      2.739030  3.044110E-13 
     19.02093      2.909764  4.037520E-13 
     19.06695      3.080465  4.943370E-13 
     19.11298      3.293175  5.587090E-13 
     19.15900      3.505843  5.829110E-13 
     19.20502      3.769741  5.614000E-13 
     19.22804      3.901758  5.302476E-13 
     19.25105      4.064922  4.991100E-13 
     19.29707      4.391238  4.064032E-13 
     19.32009      4.600077  3.600260E-13 
     19.36611      5.017555  2.646842E-13 
     19.38912      5.299238  2.170170E-13 
     19.43515      5.862783  1.400980E-13 
     19.48117      6.640069  8.348860E-14 
     19.51269      7.377699  5.777049E-14 
     19.52502      7.796950  4.771120E-14 
     19.52511      7.800043  0.0006245118 
     19.54362      8.429476     0.3532572 
     19.61523      10.32624      1.717491 
     19.62123      10.48514      1.830800 
     19.66929      12.00717      3.343792 
     19.67530      12.19750      3.630637 
     19.71735      13.28547      5.637601 
     19.73387      13.71290      6.742147 
     19.77141      14.12436      9.252126 
     19.78193      14.23965      10.12157 
     19.81947      13.87107      13.22438 
     19.85561      12.72412      16.21143 
     19.89438      10.55341      19.22082 
     19.90958      9.370023      20.40063 
     19.91259      9.109888      20.63430 
     19.94497      6.311912      22.32955 
     19.95645      5.121077      22.93057 
     19.96205      4.429622      23.22379 
     19.96751      3.850274      23.32288 
     19.98660      1.918283      23.66932 
     19.99138      1.424111      23.75603 
     19.99966     0.5208330      23.90629 
     20.00498    -0.1381140      24.00284 
     20.00889    -0.6799200      24.07381 
     20.05376      3.726500      23.00897 
     20.05599      4.011446      22.95605 
     20.06154      4.607306      22.82434 
     20.07098      5.507691      22.27859 
     20.11045      8.912189      19.99684 
     20.14017      10.78512      17.58554 
     20.16640      12.05449      15.45745 
     20.18611      12.58774      13.85843 
     20.19793      12.90755      12.89600 
     20.23923      13.19916      9.533126 
     20.24599      13.10337      8.982595 
     20.28804      12.50765      6.196805 
     20.29405      12.33676      5.798645 
     20.34211      10.97022      3.455464 
     20.39017      9.444714      1.900821 
     20.40669      8.920410      1.575884 
     20.46221      7.450356     0.4837078 
     20.47419      7.133159     0.2426511 
     20.48618      6.682049   0.001374792 
     20.48629      6.677943      0.000000 
     20.49671      6.285959      0.000000 
     20.52433      5.574565      0.000000 
     20.56340      4.825627      0.000000 
     20.61333      4.087477      0.000000 
     20.66038      3.526870      0.000000 
     20.70454      3.080411      0.000000 
     20.74598      2.712965      0.000000 
     20.76573      2.551753      0.000000 
     20.80401      2.260098      0.000000 
     20.83989      2.007793      0.000000 
     20.87353      1.786326      0.000000 
     20.90506      1.589292      0.000000 
     20.99006      1.097083      0.000000 
     21.25016    -0.3168039      0.000000 
     21.34445    -0.9512031      0.000000 
     21.37481     -1.229689      0.000000 
     21.37811     -1.200004      0.000000 
     21.42406    -0.7866149     0.2087793 
     21.48499    -0.2858689     0.4856091 
     21.53596     0.1723762     0.8647212 
     21.55621     0.3544410      1.093061 
     21.58858     0.6069779      1.458039 
     21.60477     0.7332960      1.715493 
     21.64923     0.9302880      2.422459 
     21.65561     0.9585609      2.544365 
     21.67279     0.9715641      2.872553 
     21.69867     0.9185580      3.366989 
     21.72535     0.7829421      3.876681 
     21.74636     0.6125050      4.278089 
     21.78163     0.1973630      4.951909 
     21.78719     0.1085368      5.058108 
     21.80228    -0.1325960      5.277878 
     21.82958    -0.6656234      5.675482 
     21.85009     -1.066042      5.890210 
     21.86448     -1.434316      6.040871 
     21.90763    -0.4851961      6.172820 
     21.91468    -0.2873111      6.194379 
     21.96656     0.8322886      5.889074 
     21.97254     0.9613600      5.805305 
     21.98691      1.213398      5.604038 
     22.01812      1.700927      5.166930 
     22.02541      1.797971      5.064819 
     22.03224      1.877041      4.944304 
     22.04504      2.003087      4.718454 
     22.05625      2.093608      4.520655 
     22.06605      2.159352      4.347761 
     22.07463      2.207171      4.196371 
     22.08964      2.269782      3.931526 
     22.10090      2.299205      3.732861 
     22.10935      2.311103      3.583749 
     22.12201      2.310945      3.360371 
     22.12835      2.301290      3.248521 
     22.13468      2.281337      3.136832 
     22.15347      2.206782      2.842374 
     22.16286      2.157467      2.695231 
     22.16756      2.126562      2.621574 
     22.17226      2.085857      2.547917 
     22.19614      1.897078      2.266460 
     22.20808      1.795684      2.125732 
     22.21703      1.703639      2.020250 
     22.22002      1.665117      1.985004 
     22.22579      1.590792      1.947358 
     22.25171      1.304465      1.778238 
     22.27429      1.055050      1.675867 
     22.28055     0.9691890      1.647481 
     22.32939     0.4479891      1.624688 
     22.34223     0.3109630      1.678122 
     22.38859  -0.009723902      1.871050 
     22.43982    -0.3011510      2.084242 
     22.45430    -0.3835170      2.192953 
     22.50990    -0.4153121      2.610399 
     22.51419    -0.4033978      2.642616 
     22.57179    -0.2434659      2.917234 
     22.63356   -0.01332545      3.033157 
     22.65479    0.06577802      3.017153 
     22.73629     0.2537740      2.955719 
     22.77059     0.2845954      2.929865 
     22.84777     0.3539500      2.861085 
     22.95831     0.3531386      2.762575 
     23.06736     0.3523380      2.748523 
     23.19294     0.3448807      2.732342 
     23.20836     0.3439651      2.731262 
     23.86988     0.4725970      2.684936 
     25.64773     0.7836120      2.560432 
     27.59062      1.045945      2.424371 
     29.86276      1.281004      2.265253 
     31.44595      1.412497      2.154382 
     33.71345      1.564128      1.995588 
     34.31379      1.595007      1.953546 
     36.19694      1.691867      1.857759 
     38.21092      1.775455      1.755318 
     40.54793      1.853573      1.636446 
     41.86730      1.891566      1.569336 
     43.04337      1.921215      1.525464 
     44.34012      1.950083      1.477089 
     45.54056      1.974097      1.432307 
     46.73491      1.995889      1.387753 
     47.17913      2.004558      1.371181 
     48.31283      2.022505      1.328889 
     49.60744      2.040688      1.280595 
     51.40841      2.062660      1.232571 
     54.16890      2.092603      1.158962 
     56.95697      2.115589      1.084617 
     59.37671      2.131143      1.020094 
     60.10710      2.135838      1.006272 
     63.86080      2.155575     0.9352385 
     69.90409      2.173926     0.8208772 
     72.28738      2.181163     0.7884027 
     81.19001      2.191258     0.6670963 
     83.95808      2.194396     0.6387450 
     91.30740      2.193835     0.5634712 
     101.3036      2.193072     0.4881392 
     106.7551      2.189257     0.4470564 
     121.7924      2.178734     0.3651433 
     138.8002      2.166832     0.2967969 
     155.0768      2.155236     0.2475646 
     175.3502      2.140793     0.2013534 
     195.2233      2.126635     0.1678913 
     198.6801      2.124813     0.1620708 
     225.5041      2.110675     0.1291928 
     247.4984      2.099083     0.1094815 
     253.1608      2.096897     0.1044068 
     277.0400      2.087677    0.08811064 
     296.3807      2.080209    0.07775514 
     304.2964      2.077985    0.07351686 
     340.7541      2.067743    0.05885722 
     355.7475      2.063531    0.05444903 
     380.9581      2.058457    0.04703688 
     418.4786      2.050906    0.03906472 
     427.5315      2.049580    0.03714121 
     474.5412      2.042695    0.02985160 
     484.1724      2.041284    0.02876416 
     531.1490      2.036238    0.02346011 
     556.9950      2.033462    0.02132207 
     583.6695      2.031345    0.01911550 
     636.4602      2.027157    0.01590360 
     648.4636      2.026455    0.01517329 
     721.8790      2.022160    0.01194999 
     783.0661      2.019498   0.009966279 
     816.2756      2.018053   0.009165787 
     868.4603      2.016382   0.007907910 
     922.5714      2.014648   0.006948295 
     944.0608      2.014150   0.006567198 
     1046.562      2.011771   0.005232993 
     1160.831      2.009815   0.004164407 
     1285.618      2.008239   0.003324858 
     1313.365      2.007889   0.003189608 
     1425.474      2.006871   0.002643139 
     1485.188      2.006330   0.002425430 
     1543.114      2.005952   0.002214240 
     1681.173      2.005053   0.001828843 
     1859.755      2.004197   0.001455036 
     2066.990      2.003445   0.001141181 
