 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.5250     0.1875    6.719213E+02     0.991  -0.002   0.000   0.009
    0.5250     0.2250    6.689569E+02     0.988  -0.002   0.000   0.012
    0.5250     0.2625    6.654438E+02     0.984  -0.003   0.000   0.016
    0.5250     0.3000    6.614498E+02     0.981  -0.003   0.000   0.019
    0.5250     0.3375    6.569454E+02     0.976  -0.003   0.000   0.024
    0.5250     0.3750    6.519468E+02     0.972  -0.004   0.000   0.028
    0.5250     0.4125    6.464607E+02     0.966  -0.004   0.000   0.034
    0.5250     0.4500    6.405751E+02     0.961  -0.005   0.000   0.039
    0.5250     0.4875    6.342128E+02     0.955  -0.005   0.000   0.045
    0.5250     0.5250    6.273996E+02     0.948  -0.005   0.000   0.052
    0.5250     0.5625    6.202082E+02     0.942  -0.006   0.000   0.058
    0.5250     0.6000    6.126170E+02     0.935  -0.006   0.000   0.065
    0.5250     0.6375    6.046847E+02     0.928  -0.006   0.000   0.072
    0.5250     0.6750    5.963716E+02     0.920  -0.007   0.000   0.080
    0.5250     0.7125    5.877656E+02     0.912  -0.007   0.000   0.088
    0.5250     0.7500    5.788339E+02     0.904  -0.008   0.000   0.096
    0.5250     0.7875    5.696354E+02     0.896  -0.008   0.000   0.104
    0.5250     0.8250    5.601670E+02     0.888  -0.008   0.000   0.112
    0.5250     0.8625    5.505057E+02     0.879  -0.009   0.000   0.121
    0.5250     0.9000    5.406007E+02     0.870  -0.009   0.000   0.129
    0.5250     0.9375    5.304950E+02     0.862  -0.009   0.000   0.138
    0.5250     0.9750    5.202580E+02     0.853  -0.010   0.000   0.147
    0.5250     1.0125    5.098658E+02     0.844  -0.010   0.000   0.156
    0.5250     1.0500    4.993626E+02     0.835  -0.011   0.000   0.165
    0.5250     1.0875    4.887498E+02     0.826  -0.011   0.000   0.174
    0.5250     1.1250    4.780832E+02     0.817  -0.011   0.000   0.182
    0.5250     1.1625    4.673505E+02     0.809  -0.012   0.000   0.191
    0.5250     1.2000    4.565849E+02     0.800  -0.012   0.000   0.200
    0.5250     1.2375    4.458104E+02     0.791  -0.013   0.000   0.209
    0.5250     1.2750    4.350623E+02     0.782  -0.013   0.000   0.218
    0.5250     1.3125    4.242950E+02     0.773  -0.013   0.000   0.226
    0.5250     1.3500    4.135337E+02     0.765  -0.014   0.000   0.235
    0.5250     1.3875    4.027281E+02     0.756  -0.014   0.000   0.243
    0.5250     1.4250    3.916886E+02     0.748  -0.014   0.000   0.252
    0.5250     1.4625    3.800928E+02     0.740  -0.015   0.000   0.260
    0.5250     1.5000    3.672809E+02     0.732  -0.015   0.000   0.267
    0.6000     0.0000    6.769391E+02     0.997  -0.001   0.000   0.003
    0.6000     0.0375    6.767199E+02     0.997  -0.001   0.000   0.003
    0.6000     0.0750    6.758746E+02     0.996  -0.001   0.000   0.004
    0.6000     0.1125    6.745084E+02     0.995  -0.002   0.000   0.005
    0.6000     0.1500    6.726361E+02     0.993  -0.002   0.000   0.007
    0.6000     0.1875    6.701751E+02     0.991  -0.002   0.000   0.009
    0.6000     0.2250    6.672089E+02     0.988  -0.003   0.000   0.012
    0.6000     0.2625    6.637436E+02     0.984  -0.003   0.000   0.016
    0.6000     0.3000    6.597070E+02     0.981  -0.003   0.000   0.019
    0.6000     0.3375    6.552309E+02     0.976  -0.004   0.000   0.024
    0.6000     0.3750    6.502661E+02     0.972  -0.004   0.000   0.028
    0.6000     0.4125    6.447756E+02     0.966  -0.005   0.000   0.034
    0.6000     0.4500    6.388932E+02     0.961  -0.005   0.000   0.039
    0.6000     0.4875    6.325334E+02     0.955  -0.006   0.000   0.045
    0.6000     0.5250    6.257401E+02     0.949  -0.006   0.000   0.051
    0.6000     0.5625    6.185926E+02     0.942  -0.006   0.000   0.058
    0.6000     0.6000    6.110107E+02     0.935  -0.007   0.000   0.065
    0.6000     0.6375    6.030640E+02     0.928  -0.007   0.000   0.072
    0.6000     0.6750    5.948222E+02     0.920  -0.008   0.000   0.080
    0.6000     0.7125    5.861850E+02     0.912  -0.008   0.000   0.088
    0.6000     0.7500    5.773030E+02     0.904  -0.008   0.000   0.096
    0.6000     0.7875    5.681383E+02     0.896  -0.009   0.000   0.104
    0.6000     0.8250    5.586707E+02     0.888  -0.009   0.000   0.112
    0.6000     0.8625    5.490212E+02     0.879  -0.010   0.000   0.121
    0.6000     0.9000    5.391501E+02     0.871  -0.010   0.000   0.129
    0.6000     0.9375    5.290668E+02     0.862  -0.011   0.000   0.138
    0.6000     0.9750    5.188688E+02     0.853  -0.011   0.000   0.147
    0.6000     1.0125    5.084900E+02     0.844  -0.011   0.000   0.156
    0.6000     1.0500    4.979916E+02     0.835  -0.012   0.000   0.164
    0.6000     1.0875    4.874500E+02     0.827  -0.012   0.000   0.173
    0.6000     1.1250    4.767622E+02     0.818  -0.013   0.000   0.182
    0.6000     1.1625    4.660738E+02     0.809  -0.013   0.000   0.191
    0.6000     1.2000    4.553469E+02     0.800  -0.013   0.000   0.200
    0.6000     1.2375    4.445792E+02     0.791  -0.014   0.000   0.209
    0.6000     1.2750    4.338408E+02     0.782  -0.014   0.000   0.217
    0.6000     1.3125    4.231222E+02     0.774  -0.015   0.000   0.226
    0.6000     1.3500    4.123697E+02     0.765  -0.015   0.000   0.235
    0.6000     1.3875    4.016095E+02     0.757  -0.016   0.000   0.243
    0.6000     1.4250    3.905882E+02     0.749  -0.016   0.000   0.251
    0.6000     1.4625    3.790186E+02     0.740  -0.016   0.000   0.259
    0.6000     1.5000    3.662510E+02     0.733  -0.017   0.000   0.267
    0.6750     0.0000    6.749077E+02     0.997  -0.001   0.000   0.003
    0.6750     0.0375    6.746833E+02     0.997  -0.001   0.000   0.003
    0.6750     0.0750    6.738480E+02     0.996  -0.001   0.000   0.004
    0.6750     0.1125    6.724827E+02     0.995  -0.002   0.000   0.005
    0.6750     0.1500    6.705965E+02     0.993  -0.002   0.000   0.007
    0.6750     0.1875    6.681675E+02     0.991  -0.002   0.000   0.009
    0.6750     0.2250    6.651997E+02     0.988  -0.003   0.000   0.012
    0.6750     0.2625    6.617352E+02     0.985  -0.003   0.000   0.015
    0.6750     0.3000    6.577252E+02     0.981  -0.004   0.000   0.019
    0.6750     0.3375    6.532569E+02     0.976  -0.004   0.000   0.024
    0.6750     0.3750    6.482966E+02     0.972  -0.005   0.000   0.028
    0.6750     0.4125    6.428185E+02     0.966  -0.005   0.000   0.034
    0.6750     0.4500    6.369445E+02     0.961  -0.006   0.000   0.039
    0.6750     0.4875    6.306093E+02     0.955  -0.006   0.000   0.045
    0.6750     0.5250    6.238476E+02     0.949  -0.007   0.000   0.051
    0.6750     0.5625    6.166977E+02     0.942  -0.007   0.000   0.058
    0.6750     0.6000    6.091511E+02     0.935  -0.007   0.000   0.065
    0.6750     0.6375    6.012363E+02     0.928  -0.008   0.000   0.072
    0.6750     0.6750    5.929845E+02     0.920  -0.008   0.000   0.080
    0.6750     0.7125    5.844008E+02     0.912  -0.009   0.000   0.088
    0.6750     0.7500    5.755313E+02     0.904  -0.009   0.000   0.095
    0.6750     0.7875    5.663839E+02     0.896  -0.010   0.000   0.104
    0.6750     0.8250    5.569521E+02     0.888  -0.010   0.000   0.112
    0.6750     0.8625    5.473179E+02     0.879  -0.011   0.000   0.120
    0.6750     0.9000    5.374680E+02     0.871  -0.011   0.000   0.129
    0.6750     0.9375    5.274222E+02     0.862  -0.012   0.000   0.138
    0.6750     0.9750    5.172474E+02     0.853  -0.012   0.000   0.146
    0.6750     1.0125    5.069036E+02     0.845  -0.013   0.000   0.155
    0.6750     1.0500    4.964463E+02     0.836  -0.013   0.000   0.164
    0.6750     1.0875    4.859045E+02     0.827  -0.013   0.000   0.173
    0.6750     1.1250    4.752706E+02     0.818  -0.014   0.000   0.182
    0.6750     1.1625    4.646048E+02     0.809  -0.014   0.000   0.191
    0.6750     1.2000    4.538955E+02     0.800  -0.015   0.000   0.200
    0.6750     1.2375    4.431656E+02     0.792  -0.015   0.000   0.208
    0.6750     1.2750    4.324604E+02     0.783  -0.016   0.000   0.217
    0.6750     1.3125    4.217624E+02     0.774  -0.016   0.000   0.226
    0.6750     1.3500    4.110461E+02     0.766  -0.017   0.000   0.234
    0.6750     1.3875    4.003127E+02     0.757  -0.017   0.000   0.243
    0.6750     1.4250    3.893293E+02     0.749  -0.018   0.000   0.251
    0.6750     1.4625    3.777894E+02     0.741  -0.018   0.000   0.259
    0.6750     1.5000    3.650497E+02     0.733  -0.019   0.000   0.267
    0.7500     0.0000    6.725793E+02     0.997  -0.001   0.000   0.003
    0.7500     0.0375    6.723627E+02     0.997  -0.001   0.000   0.003
    0.7500     0.0750    6.715438E+02     0.996  -0.002   0.000   0.004
    0.7500     0.1125    6.701799E+02     0.995  -0.002   0.000   0.005
    0.7500     0.1500    6.682820E+02     0.993  -0.002   0.000   0.007
    0.7500     0.1875    6.658737E+02     0.991  -0.003   0.000   0.009
    0.7500     0.2250    6.629196E+02     0.988  -0.003   0.000   0.012
    0.7500     0.2625    6.594373E+02     0.985  -0.004   0.000   0.015
    0.7500     0.3000    6.554737E+02     0.981  -0.004   0.000   0.019
    0.7500     0.3375    6.510114E+02     0.976  -0.005   0.000   0.024
    0.7500     0.3750    6.460522E+02     0.972  -0.005   0.000   0.028
    0.7500     0.4125    6.405839E+02     0.967  -0.006   0.000   0.033
    0.7500     0.4500    6.347516E+02     0.961  -0.006   0.000   0.039
    0.7500     0.4875    6.284379E+02     0.955  -0.007   0.000   0.045
    0.7500     0.5250    6.216606E+02     0.949  -0.007   0.000   0.051
    0.7500     0.5625    6.145499E+02     0.942  -0.008   0.000   0.058
    0.7500     0.6000    6.070341E+02     0.935  -0.008   0.000   0.065
    0.7500     0.6375    5.991442E+02     0.928  -0.009   0.000   0.072
    0.7500     0.6750    5.909002E+02     0.920  -0.009   0.000   0.080
    0.7500     0.7125    5.823586E+02     0.913  -0.010   0.000   0.087
    0.7500     0.7500    5.735083E+02     0.905  -0.010   0.000   0.095
    0.7500     0.7875    5.643766E+02     0.896  -0.011   0.000   0.103
    0.7500     0.8250    5.549651E+02     0.888  -0.011   0.000   0.112
    0.7500     0.8625    5.454005E+02     0.880  -0.012   0.000   0.120
    0.7500     0.9000    5.355672E+02     0.871  -0.012   0.000   0.129
    0.7500     0.9375    5.255296E+02     0.862  -0.013   0.000   0.137
    0.7500     0.9750    5.154022E+02     0.854  -0.013   0.000   0.146
    0.7500     1.0125    5.050914E+02     0.845  -0.014   0.000   0.155
    0.7500     1.0500    4.946746E+02     0.836  -0.014   0.000   0.164
    0.7500     1.0875    4.841462E+02     0.827  -0.015   0.000   0.173
    0.7500     1.1250    4.735645E+02     0.818  -0.015   0.000   0.182
    0.7500     1.1625    4.629282E+02     0.809  -0.016   0.000   0.190
    0.7500     1.2000    4.522393E+02     0.801  -0.016   0.000   0.199
    0.7500     1.2375    4.415567E+02     0.792  -0.017   0.000   0.208
    0.7500     1.2750    4.308935E+02     0.783  -0.017   0.000   0.217
    0.7500     1.3125    4.202197E+02     0.775  -0.018   0.000   0.225
    0.7500     1.3500    4.095404E+02     0.766  -0.019   0.000   0.234
    0.7500     1.3875    3.988367E+02     0.758  -0.019   0.000   0.242
    0.7500     1.4250    3.878844E+02     0.749  -0.020   0.000   0.250
    0.7500     1.4625    3.763953E+02     0.741  -0.020   0.000   0.258
    0.7500     1.5000    3.636998E+02     0.734  -0.021   0.000   0.266
    0.8250     0.0000    6.700097E+02     0.997  -0.001   0.000   0.003
    0.8250     0.0375    6.697670E+02     0.997  -0.001   0.000   0.003
    0.8250     0.0750    6.689660E+02     0.996  -0.002   0.000   0.004
    0.8250     0.1125    6.675852E+02     0.995  -0.002   0.000   0.005
    0.8250     0.1500    6.657215E+02     0.993  -0.002   0.000   0.007
    0.8250     0.1875    6.632980E+02     0.991  -0.003   0.000   0.009
    0.8250     0.2250    6.603491E+02     0.988  -0.003   0.000   0.012
    0.8250     0.2625    6.568984E+02     0.985  -0.004   0.000   0.015
    0.8250     0.3000    6.529275E+02     0.981  -0.005   0.000   0.019
    0.8250     0.3375    6.484924E+02     0.976  -0.005   0.000   0.024
    0.8250     0.3750    6.435427E+02     0.972  -0.006   0.000   0.028
    0.8250     0.4125    6.381085E+02     0.967  -0.006   0.000   0.033
    0.8250     0.4500    6.322867E+02     0.961  -0.007   0.000   0.039
    0.8250     0.4875    6.259844E+02     0.955  -0.007   0.000   0.045
    0.8250     0.5250    6.192591E+02     0.949  -0.008   0.000   0.051
    0.8250     0.5625    6.121494E+02     0.942  -0.009   0.000   0.058
    0.8250     0.6000    6.046528E+02     0.935  -0.009   0.000   0.065
    0.8250     0.6375    5.967857E+02     0.928  -0.010   0.000   0.072
    0.8250     0.6750    5.885948E+02     0.921  -0.010   0.000   0.079
    0.8250     0.7125    5.800572E+02     0.913  -0.011   0.000   0.087
    0.8250     0.7500    5.712481E+02     0.905  -0.011   0.000   0.095
    0.8250     0.7875    5.621504E+02     0.897  -0.012   0.000   0.103
    0.8250     0.8250    5.527889E+02     0.888  -0.012   0.000   0.112
    0.8250     0.8625    5.432249E+02     0.880  -0.013   0.000   0.120
    0.8250     0.9000    5.334413E+02     0.871  -0.014   0.000   0.129
    0.8250     0.9375    5.234527E+02     0.863  -0.014   0.000   0.137
    0.8250     0.9750    5.133356E+02     0.854  -0.015   0.000   0.146
    0.8250     1.0125    5.030734E+02     0.845  -0.015   0.000   0.155
    0.8250     1.0500    4.926778E+02     0.836  -0.016   0.000   0.163
    0.8250     1.0875    4.822000E+02     0.828  -0.016   0.000   0.172
    0.8250     1.1250    4.716423E+02     0.819  -0.017   0.000   0.181
    0.8250     1.1625    4.610484E+02     0.810  -0.018   0.000   0.190
    0.8250     1.2000    4.504164E+02     0.801  -0.018   0.000   0.199
    0.8250     1.2375    4.397482E+02     0.792  -0.019   0.000   0.207
    0.8250     1.2750    4.291327E+02     0.784  -0.019   0.000   0.216
    0.8250     1.3125    4.184938E+02     0.775  -0.020   0.000   0.225
    0.8250     1.3500    4.078664E+02     0.767  -0.020   0.000   0.233
    0.8250     1.3875    3.971873E+02     0.758  -0.021   0.000   0.242
    0.8250     1.4250    3.862911E+02     0.750  -0.022   0.000   0.250
    0.8250     1.4625    3.748295E+02     0.742  -0.022   0.000   0.258
    0.8250     1.5000    3.621803E+02     0.734  -0.023   0.000   0.265
    0.9000     0.0000    6.670922E+02     0.997  -0.002   0.000   0.003
    0.9000     0.0375    6.668662E+02     0.997  -0.002   0.000   0.003
    0.9000     0.0750    6.660496E+02     0.996  -0.002   0.000   0.004
    0.9000     0.1125    6.646824E+02     0.995  -0.002   0.000   0.005
    0.9000     0.1500    6.628713E+02     0.993  -0.003   0.000   0.007
    0.9000     0.1875    6.604075E+02     0.991  -0.003   0.000   0.009
    0.9000     0.2250    6.574774E+02     0.988  -0.004   0.000   0.012
    0.9000     0.2625    6.540870E+02     0.985  -0.004   0.000   0.015
    0.9000     0.3000    6.500719E+02     0.981  -0.005   0.000   0.019
    0.9000     0.3375    6.456517E+02     0.977  -0.006   0.000   0.023
    0.9000     0.3750    6.407462E+02     0.972  -0.006   0.000   0.028
    0.9000     0.4125    6.353253E+02     0.967  -0.007   0.000   0.033
    0.9000     0.4500    6.295072E+02     0.961  -0.008   0.000   0.039
    0.9000     0.4875    6.232370E+02     0.955  -0.008   0.000   0.045
    0.9000     0.5250    6.165282E+02     0.949  -0.009   0.000   0.051
    0.9000     0.5625    6.094765E+02     0.942  -0.009   0.000   0.058
    0.9000     0.6000    6.019820E+02     0.935  -0.010   0.000   0.065
    0.9000     0.6375    5.941501E+02     0.928  -0.011   0.000   0.072
    0.9000     0.6750    5.860285E+02     0.921  -0.011   0.000   0.079
    0.9000     0.7125    5.774903E+02     0.913  -0.012   0.000   0.087
    0.9000     0.7500    5.686979E+02     0.905  -0.012   0.000   0.095
    0.9000     0.7875    5.596684E+02     0.897  -0.013   0.000   0.103
    0.9000     0.8250    5.503174E+02     0.889  -0.014   0.000   0.111
    0.9000     0.8625    5.407925E+02     0.880  -0.014   0.000   0.120
    0.9000     0.9000    5.310471E+02     0.872  -0.015   0.000   0.128
    0.9000     0.9375    5.211004E+02     0.863  -0.016   0.000   0.137
    0.9000     0.9750    5.110412E+02     0.854  -0.016   0.000   0.146
    0.9000     1.0125    5.007851E+02     0.846  -0.017   0.000   0.154
    0.9000     1.0500    4.904330E+02     0.837  -0.017   0.000   0.163
    0.9000     1.0875    4.800503E+02     0.828  -0.018   0.000   0.172
    0.9000     1.1250    4.695049E+02     0.819  -0.019   0.000   0.181
    0.9000     1.1625    4.589386E+02     0.810  -0.019   0.000   0.190
    0.9000     1.2000    4.483820E+02     0.801  -0.020   0.000   0.198
    0.9000     1.2375    4.377325E+02     0.793  -0.021   0.000   0.207
    0.9000     1.2750    4.271498E+02     0.784  -0.021   0.000   0.216
    0.9000     1.3125    4.165710E+02     0.776  -0.022   0.000   0.224
    0.9000     1.3500    4.059644E+02     0.767  -0.022   0.000   0.233
    0.9000     1.3875    3.953425E+02     0.759  -0.023   0.000   0.241
    0.9000     1.4250    3.844853E+02     0.750  -0.024   0.000   0.249
    0.9000     1.4625    3.730673E+02     0.742  -0.024   0.000   0.257
    0.9000     1.5000    3.605062E+02     0.735  -0.025   0.000   0.265
    0.9750     0.0000    6.638520E+02     0.997  -0.002   0.000   0.003
    0.9750     0.0375    6.635937E+02     0.997  -0.002   0.000   0.003
    0.9750     0.0750    6.627951E+02     0.996  -0.002   0.000   0.004
    0.9750     0.1125    6.614532E+02     0.995  -0.002   0.000   0.005
    0.9750     0.1500    6.595728E+02     0.993  -0.003   0.000   0.007
    0.9750     0.1875    6.571709E+02     0.991  -0.004   0.000   0.009
    0.9750     0.2250    6.542534E+02     0.988  -0.004   0.000   0.012
    0.9750     0.2625    6.508177E+02     0.985  -0.005   0.000   0.015
    0.9750     0.3000    6.469021E+02     0.981  -0.005   0.000   0.019
    0.9750     0.3375    6.424823E+02     0.977  -0.006   0.000   0.023
    0.9750     0.3750    6.375750E+02     0.972  -0.007   0.000   0.028
    0.9750     0.4125    6.322008E+02     0.967  -0.008   0.000   0.033
    0.9750     0.4500    6.264157E+02     0.961  -0.008   0.000   0.039
    0.9750     0.4875    6.201688E+02     0.955  -0.009   0.000   0.045
    0.9750     0.5250    6.134925E+02     0.949  -0.010   0.000   0.051
    0.9750     0.5625    6.064336E+02     0.942  -0.010   0.000   0.058
    0.9750     0.6000    5.989990E+02     0.936  -0.011   0.000   0.064
    0.9750     0.6375    5.911894E+02     0.928  -0.012   0.000   0.072
    0.9750     0.6750    5.830385E+02     0.921  -0.012   0.000   0.079
    0.9750     0.7125    5.745963E+02     0.913  -0.013   0.000   0.087
    0.9750     0.7500    5.658694E+02     0.905  -0.014   0.000   0.095
    0.9750     0.7875    5.568403E+02     0.897  -0.014   0.000   0.103
    0.9750     0.8250    5.475644E+02     0.889  -0.015   0.000   0.111
    0.9750     0.8625    5.380835E+02     0.880  -0.016   0.000   0.119
    0.9750     0.9000    5.283774E+02     0.872  -0.016   0.000   0.128
    0.9750     0.9375    5.184702E+02     0.863  -0.017   0.000   0.136
    0.9750     0.9750    5.084325E+02     0.855  -0.018   0.000   0.145
    0.9750     1.0125    4.982520E+02     0.846  -0.018   0.000   0.154
    0.9750     1.0500    4.879571E+02     0.837  -0.019   0.000   0.163
    0.9750     1.0875    4.775468E+02     0.828  -0.020   0.000   0.171
    0.9750     1.1250    4.670906E+02     0.819  -0.020   0.000   0.180
    0.9750     1.1625    4.565834E+02     0.811  -0.021   0.000   0.189
    0.9750     1.2000    4.460401E+02     0.802  -0.022   0.000   0.198
    0.9750     1.2375    4.354810E+02     0.793  -0.023   0.000   0.206
    0.9750     1.2750    4.249417E+02     0.785  -0.023   0.000   0.215
    0.9750     1.3125    4.144019E+02     0.776  -0.024   0.000   0.224
    0.9750     1.3500    4.038718E+02     0.768  -0.025   0.000   0.232
    0.9750     1.3875    3.932775E+02     0.759  -0.025   0.000   0.240
    0.9750     1.4250    3.824711E+02     0.751  -0.026   0.000   0.249
    0.9750     1.4625    3.711231E+02     0.743  -0.027   0.000   0.257
    0.9750     1.5000    3.585781E+02     0.735  -0.027   0.000   0.264
    1.0500     0.0000    6.601675E+02     0.997  -0.002   0.000   0.003
    1.0500     0.0375    6.599228E+02     0.997  -0.002   0.000   0.003
    1.0500     0.0750    6.591194E+02     0.996  -0.002   0.000   0.004
    1.0500     0.1125    6.577722E+02     0.995  -0.003   0.000   0.005
    1.0500     0.1500    6.559231E+02     0.993  -0.003   0.000   0.007
    1.0500     0.1875    6.535223E+02     0.991  -0.004   0.000   0.009
    1.0500     0.2250    6.506187E+02     0.988  -0.005   0.000   0.012
    1.0500     0.2625    6.472145E+02     0.985  -0.005   0.000   0.015
    1.0500     0.3000    6.432902E+02     0.981  -0.006   0.000   0.019
    1.0500     0.3375    6.389036E+02     0.977  -0.007   0.000   0.023
    1.0500     0.3750    6.340209E+02     0.972  -0.007   0.000   0.028
    1.0500     0.4125    6.286689E+02     0.967  -0.008   0.000   0.033
    1.0500     0.4500    6.229150E+02     0.961  -0.009   0.000   0.039
    1.0500     0.4875    6.166982E+02     0.955  -0.010   0.000   0.045
    1.0500     0.5250    6.100510E+02     0.949  -0.010   0.000   0.051
    1.0500     0.5625    6.030308E+02     0.943  -0.011   0.000   0.057
    1.0500     0.6000    5.956313E+02     0.936  -0.012   0.000   0.064
    1.0500     0.6375    5.878593E+02     0.929  -0.013   0.000   0.071
    1.0500     0.6750    5.797719E+02     0.921  -0.013   0.000   0.079
    1.0500     0.7125    5.713484E+02     0.913  -0.014   0.000   0.086
    1.0500     0.7500    5.626653E+02     0.906  -0.015   0.000   0.094
    1.0500     0.7875    5.536820E+02     0.897  -0.016   0.000   0.102
    1.0500     0.8250    5.444492E+02     0.889  -0.016   0.000   0.111
    1.0500     0.8625    5.350187E+02     0.881  -0.017   0.000   0.119
    1.0500     0.9000    5.253611E+02     0.872  -0.018   0.000   0.128
    1.0500     0.9375    5.155013E+02     0.864  -0.019   0.000   0.136
    1.0500     0.9750    5.055179E+02     0.855  -0.019   0.000   0.145
    1.0500     1.0125    4.953877E+02     0.846  -0.020   0.000   0.153
    1.0500     1.0500    4.851376E+02     0.838  -0.021   0.000   0.162
    1.0500     1.0875    4.748051E+02     0.829  -0.022   0.000   0.171
    1.0500     1.1250    4.643809E+02     0.820  -0.022   0.000   0.180
    1.0500     1.1625    4.539327E+02     0.811  -0.023   0.000   0.188
    1.0500     1.2000    4.434494E+02     0.802  -0.024   0.000   0.197
    1.0500     1.2375    4.329370E+02     0.794  -0.025   0.000   0.206
    1.0500     1.2750    4.224544E+02     0.785  -0.025   0.000   0.214
    1.0500     1.3125    4.119694E+02     0.777  -0.026   0.000   0.223
    1.0500     1.3500    4.014922E+02     0.768  -0.027   0.000   0.231
    1.0500     1.3875    3.909584E+02     0.760  -0.028   0.000   0.240
    1.0500     1.4250    3.802061E+02     0.752  -0.028   0.000   0.248
    1.0500     1.4625    3.689169E+02     0.744  -0.029   0.000   0.256
    1.0500     1.5000    3.564502E+02     0.736  -0.030   0.000   0.263
    1.1250     0.0000    6.559977E+02     0.997  -0.002   0.000   0.003
    1.1250     0.0375    6.557899E+02     0.997  -0.002   0.000   0.003
    1.1250     0.0750    6.549824E+02     0.996  -0.002   0.000   0.004
    1.1250     0.1125    6.536224E+02     0.995  -0.003   0.000   0.005
    1.1250     0.1500    6.518341E+02     0.993  -0.003   0.000   0.007
    1.1250     0.1875    6.494205E+02     0.991  -0.004   0.000   0.009
    1.1250     0.2250    6.465397E+02     0.988  -0.005   0.000   0.012
    1.1250     0.2625    6.431757E+02     0.985  -0.006   0.000   0.015
    1.1250     0.3000    6.392299E+02     0.981  -0.007   0.000   0.019
    1.1250     0.3375    6.348682E+02     0.977  -0.007   0.000   0.023
    1.1250     0.3750    6.300446E+02     0.972  -0.008   0.000   0.028
    1.1250     0.4125    6.246877E+02     0.967  -0.009   0.000   0.033
    1.1250     0.4500    6.189675E+02     0.961  -0.010   0.000   0.039
    1.1250     0.4875    6.127865E+02     0.956  -0.011   0.000   0.044
    1.1250     0.5250    6.061646E+02     0.949  -0.011   0.000   0.051
    1.1250     0.5625    5.992399E+02     0.943  -0.012   0.000   0.057
    1.1250     0.6000    5.918335E+02     0.936  -0.013   0.000   0.064
    1.1250     0.6375    5.841175E+02     0.929  -0.014   0.000   0.071
    1.1250     0.6750    5.761115E+02     0.921  -0.015   0.000   0.079
    1.1250     0.7125    5.677049E+02     0.914  -0.015   0.000   0.086
    1.1250     0.7500    5.590527E+02     0.906  -0.016   0.000   0.094
    1.1250     0.7875    5.501523E+02     0.898  -0.017   0.000   0.102
    1.1250     0.8250    5.409361E+02     0.889  -0.018   0.000   0.110
    1.1250     0.8625    5.315664E+02     0.881  -0.019   0.000   0.119
    1.1250     0.9000    5.219657E+02     0.873  -0.019   0.000   0.127
    1.1250     0.9375    5.121602E+02     0.864  -0.020   0.000   0.136
    1.1250     0.9750    5.022606E+02     0.855  -0.021   0.000   0.144
    1.1250     1.0125    4.921641E+02     0.847  -0.022   0.000   0.153
    1.1250     1.0500    4.819677E+02     0.838  -0.023   0.000   0.162
    1.1250     1.0875    4.717343E+02     0.829  -0.023   0.000   0.170
    1.1250     1.1250    4.613601E+02     0.820  -0.024   0.000   0.179
    1.1250     1.1625    4.509598E+02     0.812  -0.025   0.000   0.188
    1.1250     1.2000    4.405548E+02     0.803  -0.026   0.000   0.197
    1.1250     1.2375    4.300725E+02     0.794  -0.027   0.000   0.205
    1.1250     1.2750    4.196642E+02     0.786  -0.028   0.000   0.214
    1.1250     1.3125    4.092492E+02     0.777  -0.028   0.000   0.222
    1.1250     1.3500    3.988011E+02     0.769  -0.029   0.000   0.231
    1.1250     1.3875    3.883572E+02     0.760  -0.030   0.000   0.239
    1.1250     1.4250    3.776683E+02     0.752  -0.031   0.000   0.247
    1.1250     1.4625    3.664272E+02     0.744  -0.032   0.000   0.255
    1.1250     1.5000    3.540707E+02     0.737  -0.033   0.000   0.263
    1.2000     0.0000    6.512910E+02     0.997  -0.002   0.000   0.003
    1.2000     0.0375    6.510589E+02     0.997  -0.002   0.000   0.003
    1.2000     0.0750    6.502740E+02     0.996  -0.003   0.000   0.004
    1.2000     0.1125    6.489287E+02     0.995  -0.003   0.000   0.005
    1.2000     0.1500    6.471032E+02     0.993  -0.004   0.000   0.007
    1.2000     0.1875    6.447363E+02     0.991  -0.005   0.000   0.009
    1.2000     0.2250    6.418661E+02     0.988  -0.005   0.000   0.012
    1.2000     0.2625    6.385006E+02     0.985  -0.006   0.000   0.015
    1.2000     0.3000    6.346253E+02     0.981  -0.007   0.000   0.019
    1.2000     0.3375    6.302956E+02     0.977  -0.008   0.000   0.023
    1.2000     0.3750    6.254697E+02     0.972  -0.009   0.000   0.028
    1.2000     0.4125    6.201806E+02     0.967  -0.010   0.000   0.033
