 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.0750     1.3125    4.280383E+02     0.772  -0.008   0.000   0.228
    0.0750     1.3500    4.171898E+02     0.764  -0.009   0.000   0.236
    0.0750     1.3875    4.063039E+02     0.755  -0.009   0.000   0.245
    0.0750     1.4250    3.951866E+02     0.747  -0.009   0.000   0.253
    0.0750     1.4625    3.834947E+02     0.739  -0.009   0.000   0.261
    0.0750     1.5000    3.705754E+02     0.731  -0.010   0.000   0.269
    0.1500     0.0000    6.839818E+02     0.997  -0.001   0.000   0.003
    0.1500     0.0375    6.837505E+02     0.997  -0.001   0.000   0.003
    0.1500     0.0750    6.829067E+02     0.996  -0.001   0.000   0.004
    0.1500     0.1125    6.815132E+02     0.995  -0.001   0.000   0.005
    0.1500     0.1500    6.796426E+02     0.993  -0.001   0.000   0.007
    0.1500     0.1875    6.771491E+02     0.991  -0.001   0.000   0.009
    0.1500     0.2250    6.741565E+02     0.988  -0.002   0.000   0.012
    0.1500     0.2625    6.706881E+02     0.984  -0.002   0.000   0.016
    0.1500     0.3000    6.665982E+02     0.981  -0.002   0.000   0.019
    0.1500     0.3375    6.620728E+02     0.976  -0.002   0.000   0.024
    0.1500     0.3750    6.570716E+02     0.971  -0.003   0.000   0.029
    0.1500     0.4125    6.515260E+02     0.966  -0.003   0.000   0.034
    0.1500     0.4500    6.455975E+02     0.961  -0.003   0.000   0.039
    0.1500     0.4875    6.391812E+02     0.955  -0.003   0.000   0.045
    0.1500     0.5250    6.323211E+02     0.948  -0.004   0.000   0.052
    0.1500     0.5625    6.251134E+02     0.942  -0.004   0.000   0.058
    0.1500     0.6000    6.174641E+02     0.935  -0.004   0.000   0.065
    0.1500     0.6375    6.094525E+02     0.927  -0.004   0.000   0.073
    0.1500     0.6750    6.011530E+02     0.920  -0.005   0.000   0.080
    0.1500     0.7125    5.924219E+02     0.912  -0.005   0.000   0.088
    0.1500     0.7500    5.834479E+02     0.904  -0.005   0.000   0.096
    0.1500     0.7875    5.741991E+02     0.896  -0.005   0.000   0.104
    0.1500     0.8250    5.646382E+02     0.887  -0.006   0.000   0.113
    0.1500     0.8625    5.549041E+02     0.879  -0.006   0.000   0.121
    0.1500     0.9000    5.449426E+02     0.870  -0.006   0.000   0.130
    0.1500     0.9375    5.347600E+02     0.861  -0.006   0.000   0.139
    0.1500     0.9750    5.244701E+02     0.852  -0.007   0.000   0.148
    0.1500     1.0125    5.139868E+02     0.843  -0.007   0.000   0.157
    0.1500     1.0500    5.033985E+02     0.835  -0.007   0.000   0.165
    0.1500     1.0875    4.927654E+02     0.826  -0.007   0.000   0.174
    0.1500     1.1250    4.819726E+02     0.817  -0.008   0.000   0.183
    0.1500     1.1625    4.711701E+02     0.808  -0.008   0.000   0.192
    0.1500     1.2000    4.603551E+02     0.799  -0.008   0.000   0.201
    0.1500     1.2375    4.494680E+02     0.790  -0.008   0.000   0.210
    0.1500     1.2750    4.386423E+02     0.781  -0.009   0.000   0.219
    0.1500     1.3125    4.278146E+02     0.772  -0.009   0.000   0.227
    0.1500     1.3500    4.169585E+02     0.764  -0.009   0.000   0.236
    0.1500     1.3875    4.060848E+02     0.755  -0.009   0.000   0.245
    0.1500     1.4250    3.949640E+02     0.747  -0.010   0.000   0.253
    0.1500     1.4625    3.832690E+02     0.739  -0.010   0.000   0.261
    0.1500     1.5000    3.703822E+02     0.731  -0.010   0.000   0.269
    0.2250     0.0000    6.833942E+02     0.997  -0.001   0.000   0.003
    0.2250     0.0375    6.831521E+02     0.997  -0.001   0.000   0.003
    0.2250     0.0750    6.823247E+02     0.996  -0.001   0.000   0.004
    0.2250     0.1125    6.809454E+02     0.995  -0.001   0.000   0.005
    0.2250     0.1500    6.790158E+02     0.993  -0.001   0.000   0.007
    0.2250     0.1875    6.765611E+02     0.991  -0.001   0.000   0.009
    0.2250     0.2250    6.735712E+02     0.988  -0.002   0.000   0.012
    0.2250     0.2625    6.700429E+02     0.984  -0.002   0.000   0.016
    0.2250     0.3000    6.660324E+02     0.981  -0.002   0.000   0.019
    0.2250     0.3375    6.615063E+02     0.976  -0.002   0.000   0.024
    0.2250     0.3750    6.564762E+02     0.971  -0.003   0.000   0.029
    0.2250     0.4125    6.509707E+02     0.966  -0.003   0.000   0.034
    0.2250     0.4500    6.450288E+02     0.961  -0.003   0.000   0.039
    0.2250     0.4875    6.386309E+02     0.955  -0.003   0.000   0.045
    0.2250     0.5250    6.317881E+02     0.948  -0.004   0.000   0.052
    0.2250     0.5625    6.245399E+02     0.942  -0.004   0.000   0.058
    0.2250     0.6000    6.169138E+02     0.935  -0.004   0.000   0.065
